,extension_name,perc_change_files,cy_comp,criticality
0,1,1.0,0.0,high critical
1,0,1.0,0.0,none Non-critical
2,0,1.0,0.0,none Non-critical
3,0,1.0,0.0,none Non-critical
4,0,1.0,0.0,none Non-critical
5,1,1.0,0.0,high Non-critical
6,1,1.0,0.0,high Non-critical
7,1,1.0,0.0,high Non-critical
8,1,1.0,0.0,high Non-critical
9,1,1.0,0.0,high Non-critical
10,0,1.0,0.0,low Non-critical
11,0,1.0,0.0,low Non-critical
12,1,1.0,0.0,high Non-critical
13,0,1.0,0.0,low Non-critical
14,0,1.0,0.0,medium Non-critical
15,0,1.0,0.0,medium Non-critical
16,0,1.0,0.0,medium Non-critical
17,0,1.0,0.0,medium Non-critical
18,0,1.0,0.0,medium Non-critical
19,0,1.0,0.0,medium Non-critical
20,1,1.0,0.0,high critical
21,0,1.0,0.0,low Non-critical
22,1,1.0,0.0,high Non-critical
23,0,1.0,0.0,low Non-critical
24,0,1.0,0.0,low Non-critical
25,0,1.0,0.0,none Non-critical
26,1,1.0,0.0,high Non-critical
27,0,1.0,0.0,none Non-critical
28,0,1.0,0.0,none Non-critical
29,0,1.0,0.0,none Non-critical
30,0,1.0,0.0,none Non-critical
31,1,1.0,0.0,high Non-critical
32,1,1.0,0.0,high Non-critical
33,1,1.0,0.0,high Non-critical
34,1,1.0,3.0,high Non-critical
35,1,1.0,3.0,high critical
36,0,1.0,0.0,low Non-critical
37,0,1.0,3.0,low Non-critical
38,1,1.0,1.0,high Non-critical
39,0,1.0,0.0,low Non-critical
40,0,1.0,0.0,medium Non-critical
41,0,1.0,0.0,medium Non-critical
42,0,1.0,0.0,medium Non-critical
43,0,1.0,0.0,medium Non-critical
44,0,1.0,0.0,medium Non-critical
45,0,1.0,0.0,medium Non-critical
46,1,1.0,0.0,high Non-critical
47,0,1.0,0.0,low Non-critical
48,1,1.0,3.0,high critical
49,0,1.0,0.0,low Non-critical
50,0,1.0,3.0,low Non-critical
51,0,1.0,0.0,none Non-critical
52,1,1.0,0.0,high critical
53,0,1.0,0.0,none Non-critical
54,0,1.0,0.0,none Non-critical
55,0,1.0,0.0,none Non-critical
56,0,1.0,0.0,none Non-critical
57,1,1.0,0.0,high Non-critical
58,1,1.0,0.0,high Non-critical
59,1,1.0,0.0,high Non-critical
60,1,1.0,0.0,high Non-critical
61,1,1.0,0.0,high Non-critical
62,0,1.0,0.0,low Non-critical
63,0,1.0,0.0,low Non-critical
64,1,1.0,0.0,high Non-critical
65,0,1.0,0.0,low Non-critical
66,0,1.0,0.0,medium Non-critical
67,0,1.0,0.0,medium Non-critical
68,0,1.0,0.0,medium Non-critical
69,0,1.0,0.0,medium Non-critical
70,0,1.0,0.0,medium Non-critical
71,0,1.0,0.0,medium Non-critical
72,1,1.0,0.0,high critical
73,0,1.0,0.0,low Non-critical
74,1,1.0,0.0,high Non-critical
75,0,1.0,0.0,low Non-critical
76,0,1.0,0.0,low Non-critical
77,0,1.0,0.0,none Non-critical
78,1,1.0,0.0,high Non-critical
79,0,1.0,0.0,none Non-critical
80,0,1.0,0.0,none Non-critical
81,0,1.0,0.0,none Non-critical
82,0,1.0,0.0,none Non-critical
83,1,1.0,0.0,high Non-critical
84,1,1.0,0.0,high Non-critical
85,1,1.0,0.0,high Non-critical
86,1,1.0,3.0,high Non-critical
87,1,1.0,3.0,high critical
88,0,1.0,0.0,low Non-critical
89,0,1.0,3.0,low Non-critical
90,1,1.0,1.0,high Non-critical
91,0,1.0,0.0,low Non-critical
92,0,1.0,0.0,medium Non-critical
93,0,1.0,0.0,medium Non-critical
94,0,1.0,0.0,medium Non-critical
95,0,1.0,0.0,medium Non-critical
96,0,1.0,0.0,medium Non-critical
97,0,1.0,0.0,medium Non-critical
98,1,1.0,0.0,high Non-critical
99,1,1.0,1.0,high critical
100,1,1.0,0.0,high critical
101,0,1.0,3.0,low critical
102,0,1.0,2.0,low Non-critical
103,0,1.0,0.0,medium Non-critical
104,0,1.0,0.0,medium critical
105,0,1.0,1.0,none critical
106,0,1.0,0.0,none Non-critical
107,1,1.0,0.0,high critical
108,0,1.0,0.0,none Non-critical
109,0,1.0,0.0,none Non-critical
110,0,1.0,0.0,none Non-critical
111,0,1.0,0.0,none Non-critical
112,1,1.0,0.0,high Non-critical
113,1,1.0,0.0,high Non-critical
114,1,1.0,0.0,high Non-critical
115,1,1.0,0.0,high Non-critical
116,1,1.0,0.0,high Non-critical
117,0,1.0,0.0,low Non-critical
118,0,1.0,0.0,low Non-critical
119,1,1.0,0.0,high Non-critical
120,0,1.0,0.0,low Non-critical
121,0,1.0,0.0,medium Non-critical
122,0,1.0,0.0,medium Non-critical
123,0,1.0,0.0,medium Non-critical
124,0,1.0,0.0,medium Non-critical
125,0,1.0,0.0,medium Non-critical
126,0,1.0,0.0,medium Non-critical
127,1,1.0,0.0,high critical
128,0,1.0,0.0,low Non-critical
129,1,1.0,0.0,high Non-critical
130,0,1.0,0.0,low Non-critical
131,0,1.0,0.0,low Non-critical
132,0,1.0,0.0,none Non-critical
133,1,1.0,0.0,high Non-critical
134,0,1.0,0.0,none Non-critical
135,0,1.0,0.0,none Non-critical
136,0,1.0,0.0,none Non-critical
137,0,1.0,0.0,none Non-critical
138,1,1.0,0.0,high Non-critical
139,1,1.0,0.0,high Non-critical
140,1,1.0,0.0,high Non-critical
141,1,1.0,3.0,high Non-critical
142,1,1.0,3.0,high critical
143,0,1.0,0.0,low Non-critical
144,0,1.0,3.0,low Non-critical
145,1,1.0,1.0,high Non-critical
146,0,1.0,0.0,low Non-critical
147,0,1.0,0.0,medium Non-critical
148,0,1.0,0.0,medium Non-critical
149,0,1.0,0.0,medium Non-critical
150,0,1.0,0.0,medium Non-critical
151,0,1.0,0.0,medium Non-critical
152,0,1.0,0.0,medium Non-critical
153,1,1.0,0.0,high Non-critical
154,0,1.0,0.0,low Non-critical
155,1,1.0,3.0,high critical
156,0,1.0,0.0,low Non-critical
157,0,1.0,3.0,low Non-critical
158,0,1.0,0.0,none Non-critical
159,1,1.0,0.0,high critical
160,0,1.0,0.0,none Non-critical
161,0,1.0,0.0,none Non-critical
162,0,1.0,0.0,none Non-critical
163,0,1.0,0.0,none Non-critical
164,1,1.0,0.0,high Non-critical
165,1,1.0,0.0,high Non-critical
166,1,1.0,0.0,high Non-critical
167,1,1.0,0.0,high Non-critical
168,1,1.0,0.0,high Non-critical
169,0,1.0,0.0,low Non-critical
170,0,1.0,0.0,low Non-critical
171,1,1.0,0.0,high Non-critical
172,0,1.0,0.0,low Non-critical
173,0,1.0,0.0,medium Non-critical
174,0,1.0,0.0,medium Non-critical
175,0,1.0,0.0,medium Non-critical
176,0,1.0,0.0,medium Non-critical
177,0,1.0,0.0,medium Non-critical
178,0,1.0,0.0,medium Non-critical
179,1,1.0,0.0,high critical
180,0,1.0,0.0,low Non-critical
181,1,1.0,0.0,high Non-critical
182,0,1.0,0.0,low Non-critical
183,0,1.0,0.0,low Non-critical
184,0,1.0,0.0,none Non-critical
185,1,1.0,0.0,high Non-critical
186,0,1.0,0.0,none Non-critical
187,0,1.0,0.0,none Non-critical
188,0,1.0,0.0,none Non-critical
189,0,1.0,0.0,none Non-critical
190,1,1.0,0.0,high Non-critical
191,1,1.0,0.0,high Non-critical
192,1,1.0,0.0,high Non-critical
193,1,1.0,3.0,high Non-critical
194,1,1.0,3.0,high critical
195,0,1.0,0.0,low Non-critical
196,0,1.0,3.0,low Non-critical
197,1,1.0,1.0,high Non-critical
198,0,1.0,0.0,low Non-critical
199,0,1.0,0.0,medium Non-critical
200,0,1.0,0.0,medium Non-critical
201,0,1.0,0.0,medium Non-critical
202,0,1.0,0.0,medium Non-critical
203,0,1.0,0.0,medium Non-critical
204,0,1.0,0.0,medium Non-critical
205,1,1.0,0.0,high Non-critical
206,1,1.0,1.0,high critical
207,1,1.0,0.0,high critical
208,0,1.0,3.0,low critical
209,0,1.0,2.0,low Non-critical
210,0,1.0,0.0,medium Non-critical
211,0,1.0,0.0,medium critical
212,0,1.0,1.0,none critical
213,0,1.0,0.0,none Non-critical
